"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","GetPhotoByThumbnailUrl","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","31","GetFirstComment","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","GET","Comments","",""
"","61","PostNewComment","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","POST","Comments","",""
"","55","PostNewAlbum","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","POST","Albums","",""
"","30","GetUserByUsername","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","110","PutNewInformation","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","PUT","Todos","",""
"","29","GetAlbumByUserId","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Albums","",""
"","31","GetTodoByTtitle","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","55","DeleteFirstComment","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","DELETE","Comments","",""
"","59","PostNewPhoto","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","POST","Photos","",""
"","56","PatchPhotoUrl","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","PATCH","Photos","",""
"","62","PatchPostTitle","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Posts","",""
"","61","PatchCommentName","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Comments","",""
"","35","GetCommentsById","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Comments","",""
"","56","PostNewTodo","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","POST","Todos","",""
"","31","GetUserByPhone","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","61","PatchPostBody","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Posts","",""
"","57","PatchCommentBody","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Comments","",""
"","176","GetAllPosts","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:24 UTC 2024","GET","Posts","",""
"","29","GetCommentByEmail","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Comments","",""
"","113","PostNewEntry","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","POST","Posts","",""
"","59","PatchPhotoAlbumId","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PATCH","Photos","",""
"","27","GetTodoByUserId","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","59","DeleteFirstPost","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","DELETE","Posts","",""
"","39","GetPostByUserId","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:24 UTC 2024","GET","Posts","",""
"","56","DeleteFirstAlbum","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","DELETE","Albums","",""
"","73","PatchPostUserId","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Posts","",""
"","110","PutNewInformations","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PUT","Posts","",""
"","54","DeleteFirstPhoto","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","DELETE","Photos","",""
"","29","GetPhotoById","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","55","DeleteFirstUser","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","DELETE","Users","",""
"","62","PatchCommentPostId","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Comments","",""
"","31","GetPhotoByTitle","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","67","PostNewUser","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","POST","Users","",""
"","64","PatchCommentEmail","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PATCH","Comments","",""
"","25","GetFirstTodo","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","118","PutNewInformation","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","PUT","Comments","",""
"","36","GetAlbumByTitle","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Albums","",""
"","60","PatchAlbumUserId","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PATCH","Albums","",""
"","34","GetPostById","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:24 UTC 2024","GET","Posts","",""
"","32","GetFirstPhoto","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","57","PatchPhotoTitle","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PATCH","Photos","",""
"","69","PatchAlbumTitle","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PATCH","Albums","",""
"","28","GetTodoById","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","56","PatchPhotoThumbnailUrl","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","PATCH","Photos","",""
"","158","PutNewInformation","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PUT","Photos","",""
"","28","GetUserById","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
